,Unnamed: 0,Latittude,Longitude,pressure,wind_speed,humidity,temperature,mss
318,318,10.862032,264.30496,101102.86,2.5848956,0.01934106,303.29883,0.004481279
319,319,22.857475,272.16534,101678.86,1.4084556,0.019249508,303.17383,0.002112606
320,320,34.875458,230.6036,101550.86,8.783614,0.010922024,291.9082,0.020237578
321,321,-28.703781,44.84946,101510.86,8.2205105,0.010002682,294.39258,0.021297399
322,322,-27.152645,41.104828,101278.86,6.2992215,0.012489865,294.48633,0.017439015
323,323,14.066465,292.72974,101398.86,3.899903,0.01985223,301.92383,0.009334432
324,324,30.59066,225.82457,101830.86,6.28884,0.010353634,293.3457,0.01503227
325,325,-34.45568,3.6532612,101350.86,7.9361663,0.009102413,287.31445,0.022650678
326,326,32.687283,215.96428,101550.86,1.0308708,0.010922024,291.9082,0.001439114
327,327,37.40645,220.42365,101366.86,3.107832,0.010376522,289.9707,0.006425084
328,328,11.2697115,133.47144,101270.86,10.29311,0.019447872,303.00195,0.0250496
330,330,4.345221,122.90078,101190.86,4.141994,0.018013546,302.64258,0.009899233
331,331,32.684723,215.99109,101550.86,1.0372132,0.010922024,291.9082,0.001420774
332,332,37.404343,220.4405,101366.86,3.0945902,0.010376522,289.9707,0.006154276
333,333,21.672415,266.63367,101662.86,2.7322502,0.019394467,303.20508,0.005815024
334,334,-35.902237,43.24962,101286.86,2.1000898,0.008652279,292.81445,0.004886724
336,336,34.85926,230.66748,101550.86,9.082121,0.010922024,291.9082,0.020746075
337,337,22.826736,272.21356,101678.86,1.2825656,0.019249508,303.17383,0.001948116
338,338,10.836034,264.35315,101102.86,2.375267,0.01934106,303.29883,0.004013217
339,339,30.576063,225.88522,101830.86,6.24226,0.010353634,293.3457,0.014968626
340,340,14.0352125,292.77545,101398.86,3.851794,0.01985223,301.92383,0.008662886
341,341,-27.147049,41.165077,101278.86,6.1287794,0.012489865,294.48633,0.015855024
342,342,4.370589,122.932785,101190.86,4.692127,0.018013546,302.64258,0.01168749
343,343,11.296378,133.50943,101270.86,10.016775,0.019447872,303.00195,0.024588231
344,344,-28.694702,44.925323,101510.86,6.799939,0.010002682,294.39258,0.016769018
345,345,4.3832726,122.948784,101190.86,5.0744157,0.018013546,302.64258,0.012847899
346,346,21.644306,266.68362,101662.86,2.6841164,0.019394467,303.20508,0.005656051
347,347,-35.895058,43.31609,101286.86,2.002895,0.008652279,292.81445,0.004571073
348,348,15.743684,131.47693,101366.86,6.797532,0.019562313,303.1582,0.018523974
